id_sewa,nama_penyewa,barang_disewa,tanggal_sewa,tanggal_kembali,total_biaya
190,Rina 199,TV Panasonic/LG 43 Inch,2026-04-08,2026-04-10,600000
191,Iwan 325,Screen 2x3,2025-04-25,2025-05-02,2100000
192,Dewi 895,Epson 6000 Lumens,2023-03-31,2023-04-01,1000000
193,Gani 607,TV Panasonic/LG 50 Inch,2026-01-03,2026-01-04,450000
194,Santi 100,TV Panasonic/LG 50 Inch,2025-11-30,2025-12-02,900000
195,Joko 110,Screen 2x3,2023-12-30,2024-01-04,1500000
196,Gani 583,TV Panasonic/LG 43 Inch,2026-04-20,2026-04-24,1200000
197,Budi 687,TV Panasonic/LG 43 Inch,2025-12-01,2025-12-03,600000
198,Santi 441,TV Panasonic/LG 43 Inch,2026-03-21,2026-03-23,600000
199,Fani 884,TV Panasonic/LG 75 Inch,2023-11-02,2023-11-05,3600000
200,Wati 915,TV Panasonic/LG 50 Inch,2023-08-14,2023-08-17,1350000
201,Eko 821,Epson 6000 Lumens,2023-07-29,2023-07-30,1000000
202,Tono 224,TV Panasonic/LG 43 Inch,2025-11-08,2025-11-15,2100000
203,Iwan 820,TV Panasonic/LG 50 Inch,2023-08-24,2023-08-28,1800000
204,Hana 899,TV Panasonic/LG 55 Inch,2025-03-13,2025-03-18,2750000
205,Zaki 576,Screen 2x3,2025-12-04,2025-12-09,1500000
206,Eko 244,TV Panasonic/LG 50 Inch,2023-08-21,2023-08-25,1800000
207,Andi 917,TV Panasonic/LG 43 Inch,2025-07-18,2025-07-21,900000
208,Joko 694,TV Panasonic/LG 50 Inch,2023-08-07,2023-08-09,900000
209,Andi 232,Screen 3x4,2024-05-31,2024-06-03,1200000
210,Gani 775,TV Panasonic/LG 50 Inch,2024-12-18,2024-12-20,900000
211,Hana 157,TV Panasonic/LG 43 Inch,2025-06-15,2025-06-16,300000
212,Citra 621,TV Panasonic/LG 50 Inch,2023-09-06,2023-09-08,900000
213,Dewi 714,TV Panasonic/LG 43 Inch,2025-01-14,2025-01-20,1800000
214,Dewi 672,Epson 6000 Lumens,2026-01-04,2026-01-05,1000000
215,Dewi 979,TV Panasonic/LG 50 Inch,2023-10-22,2023-10-26,1800000
216,Iwan 813,TV Panasonic/LG 43 Inch,2023-11-02,2023-11-05,900000
217,Budi 911,Epson 6000 Lumens,2024-11-03,2024-11-06,3000000
218,Tono 296,TV Panasonic/LG 50 Inch,2025-11-21,2025-11-24,1350000
219,Tono 228,TV Panasonic/LG 55 Inch,2024-09-04,2024-09-09,2750000
220,Tono 346,TV Panasonic/LG 50 Inch,2024-09-21,2024-09-26,2250000
221,Eko 677,Screen 2x3,2024-09-29,2024-10-04,1500000
222,Santi 529,Epson 6000 Lumens,2024-01-29,2024-02-04,6000000
223,Gani 195,Screen 3x4,2024-01-29,2024-01-30,400000
224,Joko 844,TV Panasonic/LG 43 Inch,2025-08-25,2025-08-27,600000
225,Andi 595,TV Panasonic/LG 43 Inch,2025-11-28,2025-12-02,1200000
226,Tono 724,TV Panasonic/LG 43 Inch,2026-03-23,2026-03-25,600000
227,Iwan 492,TV Panasonic/LG 55 Inch,2023-12-08,2023-12-09,550000
228,Joko 147,Screen 2x3,2025-03-08,2025-03-11,900000
229,Zaki 677,TV Panasonic/LG 50 Inch,2024-09-21,2024-09-26,2250000
230,Andi 699,TV Panasonic/LG 50 Inch,2025-07-17,2025-07-18,450000
231,Santi 380,TV Panasonic/LG 43 Inch,2023-12-21,2023-12-23,600000
232,Tono 783,TV Panasonic/LG 55 Inch,2024-09-27,2024-09-29,1100000
233,Rina 617,TV Panasonic/LG 55 Inch,2025-02-24,2025-03-01,2750000
234,Santi 611,TV Panasonic/LG 43 Inch,2023-10-16,2023-10-20,1200000
235,Budi 366,TV Panasonic/LG 43 Inch,2025-07-27,2025-08-02,1800000
236,Wati 959,TV Panasonic/LG 43 Inch,2025-01-23,2025-01-29,1800000
237,Hana 581,TV Panasonic/LG 55 Inch,2023-12-06,2023-12-08,1100000
238,Andi 245,TV Panasonic/LG 43 Inch,2025-03-17,2025-03-24,2100000
239,Joko 804,TV Panasonic/LG 43 Inch,2026-04-15,2026-04-19,1200000
240,Iwan 510,TV Panasonic/LG 55 Inch,2023-10-25,2023-10-31,3300000
241,Tono 356,TV Panasonic/LG 75 Inch,2024-03-11,2024-03-12,1200000
242,Rina 631,Epson 6000 Lumens,2023-06-10,2023-06-15,5000000
243,Zaki 342,Screen 2x3,2023-02-24,2023-02-25,300000
244,Budi 777,TV Panasonic/LG 55 Inch,2025-09-09,2025-09-11,1100000
245,Eko 474,TV Panasonic/LG 55 Inch,2024-07-28,2024-08-04,3850000
246,Wati 525,TV Panasonic/LG 43 Inch,2025-05-16,2025-05-17,300000
247,Tono 641,TV Panasonic/LG 55 Inch,2024-04-03,2024-04-06,1650000
248,Santi 935,Screen 2x3,2025-06-27,2025-07-01,1200000
249,Gani 715,TV Panasonic/LG 43 Inch,2024-11-13,2024-11-15,600000
250,Dewi 600,TV Panasonic/LG 65 Inch,2023-05-23,2023-05-30,4900000
251,Gani 761,TV Panasonic/LG 43 Inch,2023-08-14,2023-08-16,600000
252,Zaki 638,TV Panasonic/LG 43 Inch,2026-02-09,2026-02-13,1200000
253,Andi 645,TV Panasonic/LG 50 Inch,2024-07-07,2024-07-13,2700000
254,Iwan 828,Epson 6000 Lumens,2024-02-10,2024-02-15,5000000
255,Hana 457,Screen 2x3,2023-02-19,2023-02-25,1800000
256,Rina 633,Screen 2x3,2025-05-10,2025-05-17,2100000
257,Dewi 313,Screen 3x4,2023-06-24,2023-06-26,800000
258,Tono 521,Screen 3x4,2025-02-05,2025-02-11,2400000
259,Santi 497,TV Panasonic/LG 55 Inch,2024-08-18,2024-08-25,3850000
260,Hana 893,TV Panasonic/LG 43 Inch,2025-01-10,2025-01-13,900000
261,Andi 184,TV Panasonic/LG 43 Inch,2023-04-16,2023-04-18,600000
262,Andi 462,TV Panasonic/LG 65 Inch,2023-03-13,2023-03-15,1400000
263,Joko 856,TV Panasonic/LG 50 Inch,2023-05-17,2023-05-20,1350000
264,Citra 349,Screen 2x3,2025-09-25,2025-09-30,1500000
265,Budi 851,TV Panasonic/LG 55 Inch,2025-05-18,2025-05-23,2750000
266,Andi 995,TV Panasonic/LG 43 Inch,2023-11-02,2023-11-09,2100000
267,Zaki 748,Screen 2x3,2024-10-02,2024-10-09,2100000
268,Santi 798,TV Panasonic/LG 43 Inch,2023-01-11,2023-01-18,2100000
269,Joko 347,TV Panasonic/LG 50 Inch,2023-09-27,2023-09-29,900000
270,Gani 153,TV Panasonic/LG 50 Inch,2023-07-09,2023-07-13,1800000
271,Tono 367,TV Panasonic/LG 43 Inch,2025-09-08,2025-09-10,600000
272,Andi 564,TV Panasonic/LG 43 Inch,2025-02-27,2025-02-28,300000
273,Wati 588,Screen 3x4,2024-06-15,2024-06-22,2800000
274,Wati 855,Screen 2x3,2023-09-21,2023-09-24,900000
275,Joko 984,Epson 6000 Lumens,2024-12-09,2024-12-16,7000000
276,Rina 674,TV Panasonic/LG 65 Inch,2025-10-25,2025-10-28,2100000
277,Budi 336,TV Panasonic/LG 43 Inch,2025-04-12,2025-04-16,1200000
278,Gani 176,TV Panasonic/LG 55 Inch,2025-04-22,2025-04-24,1100000
279,Dewi 900,Epson 6000 Lumens,2025-03-16,2025-03-22,6000000
280,Fani 602,TV Panasonic/LG 50 Inch,2023-08-09,2023-08-16,3150000
281,Tono 878,Screen 2x3,2024-02-27,2024-03-01,900000
282,Iwan 266,TV Panasonic/LG 43 Inch,2023-03-07,2023-03-11,1200000
283,Eko 724,TV Panasonic/LG 50 Inch,2024-06-24,2024-06-27,1350000
284,Hana 167,Screen 2x3,2024-01-20,2024-01-27,2100000
285,Zaki 967,TV Panasonic/LG 55 Inch,2025-10-23,2025-10-27,2200000
286,Wati 211,Screen 3x4,2025-04-12,2025-04-18,2400000
287,Wati 192,TV Panasonic/LG 43 Inch,2025-11-19,2025-11-26,2100000
288,Joko 638,TV Panasonic/LG 43 Inch,2024-07-18,2024-07-23,1500000
289,Santi 820,TV Panasonic/LG 55 Inch,2026-04-18,2026-04-25,3850000
290,Wati 605,Screen 2x3,2024-05-03,2024-05-09,1800000
291,Tono 931,TV Panasonic/LG 50 Inch,2025-07-04,2025-07-08,1800000
292,Hana 259,TV Panasonic/LG 55 Inch,2023-03-20,2023-03-23,1650000
293,Joko 578,Screen 2x3,2024-12-19,2024-12-26,2100000
294,Santi 694,TV Panasonic/LG 43 Inch,2025-03-18,2025-03-20,600000
295,Rina 508,TV Panasonic/LG 50 Inch,2025-04-15,2025-04-19,1800000
296,Eko 216,TV Panasonic/LG 55 Inch,2026-01-20,2026-01-25,2750000
297,Tono 737,TV Panasonic/LG 50 Inch,2023-08-07,2023-08-10,1350000
298,Citra 571,Epson 6000 Lumens,2024-08-22,2024-08-26,4000000
299,Andi 421,Epson 6000 Lumens,2024-12-22,2024-12-27,5000000
300,Wati 664,TV Panasonic/LG 43 Inch,2024-06-30,2024-07-01,300000
301,Santi 876,Epson 6000 Lumens,2023-11-13,2023-11-20,7000000
302,Rina 993,TV Panasonic/LG 55 Inch,2023-09-19,2023-09-25,3300000
303,Eko 575,TV Panasonic/LG 50 Inch,2023-04-08,2023-04-09,450000
304,Citra 698,TV Panasonic/LG 65 Inch,2024-07-19,2024-07-23,2800000
305,Joko 603,TV Panasonic/LG 43 Inch,2023-11-20,2023-11-25,1500000
306,Rina 766,TV Panasonic/LG 43 Inch,2024-04-20,2024-04-27,2100000
307,Gani 592,TV Panasonic/LG 43 Inch,2023-01-11,2023-01-13,600000
308,Dewi 748,TV Panasonic/LG 50 Inch,2025-10-20,2025-10-22,900000
309,Rina 771,TV Panasonic/LG 65 Inch,2024-09-06,2024-09-09,2100000
310,Eko 985,TV Panasonic/LG 55 Inch,2023-02-01,2023-02-06,2750000
311,Andi 899,TV Panasonic/LG 55 Inch,2025-01-04,2025-01-07,1650000
312,Andi 947,TV Panasonic/LG 65 Inch,2025-08-29,2025-09-04,4200000
313,Santi 363,TV Panasonic/LG 55 Inch,2024-01-27,2024-01-28,550000
314,Rina 247,TV Panasonic/LG 43 Inch,2024-07-24,2024-07-28,1200000
315,Wati 580,TV Panasonic/LG 43 Inch,2025-10-18,2025-10-22,1200000
316,Eko 346,Screen 2x3,2024-12-24,2024-12-25,300000
317,Budi 430,TV Panasonic/LG 43 Inch,2023-12-09,2023-12-11,600000
318,Eko 673,TV Panasonic/LG 65 Inch,2023-02-02,2023-02-08,4200000
319,Iwan 266,Screen 3x4,2023-09-22,2023-09-25,1200000
320,Gani 681,TV Panasonic/LG 50 Inch,2026-01-28,2026-02-02,2250000
321,Tono 478,Screen 2x3,2023-11-21,2023-11-25,1200000
322,Budi 275,TV Panasonic/LG 65 Inch,2025-12-05,2025-12-12,4900000
323,Joko 983,TV Panasonic/LG 43 Inch,2023-01-09,2023-01-13,1200000
324,Hana 749,TV Panasonic/LG 55 Inch,2023-09-25,2023-09-27,1100000
325,Santi 604,TV Panasonic/LG 50 Inch,2025-06-28,2025-07-05,3150000
326,Citra 591,TV Panasonic/LG 50 Inch,2025-01-10,2025-01-15,2250000
327,Wati 607,TV Panasonic/LG 55 Inch,2025-10-22,2025-10-27,2750000
328,Fani 850,Epson 6000 Lumens,2023-06-02,2023-06-03,1000000
329,Zaki 659,Epson 6000 Lumens,2023-12-18,2023-12-21,3000000
330,Citra 307,Epson 6000 Lumens,2024-08-14,2024-08-21,7000000
331,Andi 270,TV Panasonic/LG 43 Inch,2023-03-23,2023-03-24,300000
332,Eko 220,TV Panasonic/LG 50 Inch,2023-08-19,2023-08-22,1350000
333,Joko 650,TV Panasonic/LG 50 Inch,2023-10-03,2023-10-06,1350000
334,Iwan 925,TV Panasonic/LG 50 Inch,2025-01-19,2025-01-21,900000
335,Fani 298,TV Panasonic/LG 55 Inch,2025-12-05,2025-12-12,3850000
336,Santi 717,TV Panasonic/LG 43 Inch,2024-06-23,2024-06-24,300000
337,Eko 472,TV Panasonic/LG 55 Inch,2026-02-24,2026-02-28,2200000
338,Iwan 986,TV Panasonic/LG 65 Inch,2023-02-25,2023-02-26,700000
339,Zaki 199,TV Panasonic/LG 43 Inch,2023-10-08,2023-10-14,1800000
340,Eko 606,TV Panasonic/LG 65 Inch,2023-09-14,2023-09-20,4200000
341,Citra 933,Screen 2x3,2026-01-09,2026-01-16,2100000
342,Tono 652,Epson 6000 Lumens,2025-12-24,2025-12-28,4000000
