id_transaksi,nama_penyewa,barang_disewa,tanggal_sewa,tanggal_kembali,durasi_sewa,total_biaya,id_barang,jenis_barang,harga_sewa,stok,jumlah_disewa,tersedia
TRX-2023-00030,Yanto Sari,Proyektor Epson 6000 Lumens,2025-09-03,2025-09-05,2,1979718,B001,Proyektor,1005000,15,1,7
TRX-2023-00031,Siti Lestari,TV LG 50 inch,2024-04-14,2024-04-15,1,450832,B007,TV,453000,10,1,9
TRX-2023-00032,Yanto Hidayat,TV LG 65 inch,2025-06-06,2025-06-07,1,609686,B011,TV,672000,6,1,4
TRX-2023-00033,Rian Kusuma,TV LG 50 inch,2025-05-30,2025-06-01,2,818320,B007,TV,428000,10,1,6
TRX-2023-00034,Doni Saputra,Screen 2x3,2023-11-10,2023-11-11,1,269000,B002,Screen,298000,10,1,6
TRX-2023-00035,Lia Pratama,TV LG 43 inch,2024-06-29,2024-07-04,5,1338644,B005,TV,294000,12,1,11
TRX-2023-00036,Siska Saputra,TV LG 43 inch,2024-09-24,2024-10-01,7,2003258,B005,TV,290000,12,1,9
TRX-2023-00037,Doni Santoso,TV LG 50 inch,2024-09-27,2024-09-30,3,1258939,B007,TV,433000,10,1,10
TRX-2023-00038,Eka Putri,TV LG 43 inch,2023-02-05,2023-02-12,7,2081859,B005,TV,311000,12,1,9
TRX-2023-00039,Hadi Putri,Proyektor Epson 6000 Lumens,2024-08-05,2024-08-10,5,4707264,B001,Proyektor,954000,15,1,10
TRX-2023-00040,Rina Hidayat,TV LG 55 inch,2024-10-14,2024-10-16,2,1109535,B009,TV,572000,8,1,5
TRX-2023-00041,Rina Lestari,TV LG 55 inch,2024-09-29,2024-09-30,1,528001,B009,TV,554000,8,1,3
TRX-2023-00042,Doni Pratama,TV Panasonic 43 inch,2025-03-30,2025-04-01,2,580812,B004,TV,305000,12,1,2
TRX-2023-00043,Maya Santoso,TV Panasonic 50 inch,2024-01-28,2024-02-02,5,2124148,B006,TV,453000,10,1,7
TRX-2023-00044,Maya Lestari,TV Panasonic 43 inch,2025-03-12,2025-03-16,4,1147689,B004,TV,303000,12,1,6
TRX-2023-00045,Dewi Putri,TV LG 55 inch,2023-09-23,2023-09-26,3,1453858,B009,TV,524000,8,1,6
TRX-2023-00046,Budi Kusuma,Proyektor Epson 6000 Lumens,2025-12-31,2026-01-05,5,4503962,B001,Proyektor,961000,15,1,13
TRX-2023-00047,Rina Santoso,TV Panasonic 65 inch,2025-12-11,2025-12-16,5,3377186,B010,TV,722000,6,1,6
TRX-2023-00048,Agus Hidayat,Proyektor Epson 6000 Lumens,2023-03-24,2023-03-26,2,1754697,B001,Proyektor,968000,15,1,6
TRX-2023-00049,Eka Ramadhan,Screen 2x3,2023-09-17,2023-09-22,5,1386389,B002,Screen,297000,10,1,6
TRX-2023-00050,Joko Ramadhan,TV LG 43 inch,2025-10-08,2025-10-15,7,1850926,B005,TV,287000,12,1,8
TRX-2023-00051,Siska Pratama,TV LG 43 inch,2024-09-09,2024-09-11,2,539410,B005,TV,287000,12,1,0
TRX-2023-00052,Yanto Saputra,TV LG 55 inch,2023-09-12,2023-09-17,5,2686482,B009,TV,568000,8,1,3
TRX-2023-00053,Siti Hidayat,TV LG 43 inch,2023-03-17,2023-03-18,1,292107,B005,TV,295000,12,1,1
TRX-2023-00054,Doni Putri,TV LG 43 inch,2023-09-16,2023-09-19,3,819401,B005,TV,300000,12,1,5
TRX-2023-00055,Lia Ramadhan,TV LG 65 inch,2024-09-02,2024-09-05,3,2006981,B011,TV,721000,6,1,3
TRX-2023-00056,Siti Santoso,TV Panasonic 65 inch,2025-01-18,2025-01-22,4,2646026,B010,TV,682000,6,1,1
TRX-2023-00057,Joko Wijaya,TV Panasonic 43 inch,2024-06-16,2024-06-20,4,1184197,B004,TV,312000,12,1,4
TRX-2023-00058,Rina Ramadhan,TV LG 43 inch,2025-05-25,2025-05-31,6,1794704,B005,TV,311000,12,1,7
TRX-2023-00059,Yanto Santoso,TV LG 43 inch,2024-05-19,2024-05-24,5,1349366,B005,TV,286000,12,1,8
TRX-2023-00060,Siska Putri,TV Panasonic 75 inch,2025-11-12,2025-11-19,7,8639648,B012,TV,1256000,4,1,0
TRX-2023-00061,Budi Ramadhan,TV Panasonic 43 inch,2025-04-10,2025-04-14,4,1217930,B004,TV,310000,12,1,10
TRX-2023-00062,Andi Ramadhan,TV LG 43 inch,2025-01-12,2025-01-18,6,1600095,B005,TV,290000,12,1,0
TRX-2023-00063,Hadi Sari,TV LG 55 inch,2025-06-26,2025-06-30,4,2180094,B009,TV,560000,8,1,7
TRX-2023-00064,Agus Wijaya,Screen 2x3,2025-07-20,2025-07-27,7,1955451,B002,Screen,303000,10,1,5
TRX-2023-00065,Maya Sari,TV Panasonic 43 inch,2023-05-19,2023-05-23,4,1157700,B004,TV,303000,12,1,12
TRX-2023-00066,Lia Sari,Screen 2x3,2024-01-10,2024-01-13,3,919204,B002,Screen,307000,10,1,0
TRX-2023-00067,Hadi Hidayat,TV Panasonic 55 inch,2025-12-30,2026-01-05,6,2977215,B008,TV,528000,8,1,2
TRX-2023-00068,Hadi Hidayat,TV LG 50 inch,2024-06-17,2024-06-20,3,1203680,B007,TV,443000,10,1,9
TRX-2023-00069,Lia Hidayat,TV Panasonic 43 inch,2024-03-29,2024-03-31,2,594760,B004,TV,301000,12,1,9
TRX-2023-00070,Rina Kusuma,TV LG 55 inch,2025-12-24,2025-12-31,7,3756240,B009,TV,555000,8,1,6
TRX-2023-00071,Eka Santoso,TV LG 55 inch,2024-08-12,2024-08-18,6,3066803,B009,TV,529000,8,1,5
TRX-2023-00072,Doni Wijaya,TV Panasonic 50 inch,2025-11-14,2025-11-18,4,1707304,B006,TV,448000,10,1,10
TRX-2023-00073,Agus Pratama,TV LG 65 inch,2023-03-27,2023-04-01,5,3527391,B011,TV,734000,6,1,0
TRX-2023-00074,Siti Hidayat,Proyektor Epson 6000 Lumens,2023-02-16,2023-02-19,3,2815422,B001,Proyektor,1033000,15,1,8
TRX-2023-00075,Agus Santoso,TV LG 43 inch,2024-06-28,2024-07-01,3,855097,B005,TV,300000,12,1,2
TRX-2023-00076,Eka Lestari,TV Panasonic 65 inch,2025-01-04,2025-01-09,5,3117108,B010,TV,690000,6,1,6
TRX-2023-00077,Siti Kusuma,TV Panasonic 55 inch,2025-10-14,2025-10-15,1,505743,B008,TV,554000,8,1,2
TRX-2023-00078,Budi Hidayat,Screen 2x3,2024-12-10,2024-12-12,2,569396,B002,Screen,306000,10,1,7
TRX-2023-00079,Rian Pratama,TV Panasonic 55 inch,2025-02-03,2025-02-08,5,2564543,B008,TV,565000,8,1,4
TRX-2023-00080,Siti Sari,TV Panasonic 43 inch,2025-03-19,2025-03-23,4,1193410,B004,TV,307000,12,1,5
TRX-2023-00081,Hadi Hidayat,TV Panasonic 43 inch,2023-04-11,2023-04-17,6,1716855,B004,TV,301000,12,1,1
TRX-2023-00082,Rina Sari,TV Panasonic 43 inch,2023-12-06,2023-12-11,5,1338141,B004,TV,294000,12,1,9
TRX-2023-00083,Rian Wijaya,TV Panasonic 65 inch,2025-01-02,2025-01-03,1,647946,B010,TV,691000,6,1,0
TRX-2023-00084,Eka Putri,TV LG 55 inch,2024-09-08,2024-09-14,6,3223113,B009,TV,538000,8,1,2
TRX-2023-00085,Rian Putri,Proyektor Epson 6000 Lumens,2025-10-24,2025-10-28,4,4010166,B001,Proyektor,1040000,15,1,13
TRX-2023-00086,Budi Ramadhan,Proyektor Epson 6000 Lumens,2024-04-15,2024-04-18,3,2658541,B001,Proyektor,976000,15,1,5
TRX-2023-00087,Andi Ramadhan,TV LG 75 inch,2024-03-07,2024-03-14,7,7901384,B013,TV,1169000,4,1,1
TRX-2023-00088,Doni Kusuma,TV LG 50 inch,2024-09-10,2024-09-17,7,3050523,B007,TV,459000,10,1,10
TRX-2023-00089,Siska Saputra,TV Panasonic 50 inch,2023-08-09,2023-08-13,4,1646563,B006,TV,429000,10,1,10
TRX-2023-00090,Siti Putri,TV LG 43 inch,2023-03-21,2023-03-26,5,1400638,B005,TV,297000,12,1,2
TRX-2023-00091,Rian Putri,TV Panasonic 50 inch,2023-08-05,2023-08-12,7,2943689,B006,TV,458000,10,1,0
TRX-2023-00092,Lia Kusuma,TV LG 43 inch,2024-05-10,2024-05-11,1,273634,B005,TV,293000,12,1,7
TRX-2023-00093,Andi Kusuma,TV Panasonic 55 inch,2023-04-28,2023-05-05,7,3750934,B008,TV,550000,8,1,6
TRX-2023-00094,Doni Ramadhan,TV Panasonic 65 inch,2024-04-30,2024-05-07,7,4613365,B010,TV,671000,6,1,2
TRX-2023-00095,Siti Hidayat,Proyektor Epson 6000 Lumens,2023-01-28,2023-01-29,1,933866,B001,Proyektor,980000,15,1,13
TRX-2023-00096,Hadi Sari,Screen 3x4,2023-02-01,2023-02-07,6,2167680,B003,Screen,393000,8,1,8
TRX-2023-00097,Maya Saputra,TV Panasonic 50 inch,2024-05-11,2024-05-15,4,1618559,B006,TV,431000,10,1,2
TRX-2023-00098,Yanto Putri,TV Panasonic 55 inch,2023-01-22,2023-01-24,2,1130059,B008,TV,574000,8,1,3
TRX-2023-00099,Lia Putri,TV LG 43 inch,2024-07-28,2024-08-01,4,1174356,B005,TV,315000,12,1,12
TRX-2023-00100,Lia Saputra,Screen 2x3,2025-03-28,2025-03-31,3,893682,B002,Screen,303000,10,1,0
TRX-2023-00101,Siska Saputra,TV Panasonic 43 inch,2025-07-18,2025-07-21,3,825609,B004,TV,303000,12,1,9
TRX-2023-00102,Maya Sari,Proyektor Epson 6000 Lumens,2025-01-11,2025-01-13,2,2022405,B001,Proyektor,1014000,15,1,7
TRX-2023-00103,Budi Saputra,Screen 3x4,2023-04-07,2023-04-13,6,2182115,B003,Screen,390000,8,1,3
TRX-2023-00104,Doni Ramadhan,Proyektor Epson 6000 Lumens,2025-06-11,2025-06-16,5,4677829,B001,Proyektor,1012000,15,1,3
TRX-2023-00105,Rian Sari,TV Panasonic 50 inch,2024-04-22,2024-04-25,3,1364825,B006,TV,466000,10,1,2
TRX-2023-00106,Lia Ramadhan,TV LG 43 inch,2024-12-09,2024-12-12,3,825095,B005,TV,286000,12,1,4
TRX-2023-00107,Joko Pratama,Screen 3x4,2023-05-17,2023-05-19,2,760838,B003,Screen,393000,8,1,0
TRX-2023-00108,Andi Santoso,TV LG 43 inch,2023-07-06,2023-07-07,1,294358,B005,TV,306000,12,1,1
TRX-2023-00109,Eka Kusuma,TV Panasonic 55 inch,2025-10-02,2025-10-07,5,2634382,B008,TV,547000,8,1,8
TRX-2023-00110,Budi Hidayat,Proyektor Epson 6000 Lumens,2025-04-26,2025-05-02,6,5998340,B001,Proyektor,1015000,15,1,5
TRX-2023-00111,Andi Lestari,Screen 2x3,2023-03-03,2023-03-09,6,1781876,B002,Screen,303000,10,1,10
TRX-2023-00112,Lia Lestari,TV LG 43 inch,2024-01-18,2024-01-25,7,1897800,B005,TV,286000,12,1,8
TRX-2023-00113,Joko Kusuma,TV LG 43 inch,2025-10-30,2025-11-06,7,1950301,B005,TV,295000,12,1,3
TRX-2023-00114,Siska Santoso,TV Panasonic 65 inch,2023-07-11,2023-07-14,3,2103495,B010,TV,723000,6,1,4
TRX-2023-00115,Eka Kusuma,Proyektor Epson 6000 Lumens,2024-01-30,2024-02-06,7,6262820,B001,Proyektor,966000,15,1,9
TRX-2023-00116,Hadi Putri,TV Panasonic 55 inch,2025-10-31,2025-11-06,6,2940271,B008,TV,541000,8,1,0
TRX-2023-00117,Doni Sari,TV Panasonic 43 inch,2024-01-20,2024-01-27,7,1920630,B004,TV,287000,12,1,8
TRX-2023-00118,Joko Ramadhan,Screen 2x3,2023-12-24,2023-12-26,2,540395,B002,Screen,289000,10,1,6
TRX-2023-00119,Yanto Pratama,Proyektor Epson 6000 Lumens,2025-02-11,2025-02-12,1,911583,B001,Proyektor,985000,15,1,3
TRX-2023-00120,Siska Hidayat,TV LG 55 inch,2025-09-21,2025-09-28,7,3421410,B009,TV,523000,8,1,2
TRX-2023-00121,Eka Putri,Screen 2x3,2023-06-03,2023-06-07,4,1152484,B002,Screen,304000,10,1,6
TRX-2023-00122,Siska Ramadhan,TV LG 55 inch,2023-06-05,2023-06-07,2,988894,B009,TV,527000,8,1,3
TRX-2023-00123,Rina Ramadhan,Screen 3x4,2024-01-22,2024-01-26,4,1588987,B003,Screen,418000,8,1,0
TRX-2023-00124,Budi Kusuma,TV LG 43 inch,2023-07-13,2023-07-20,7,2057439,B005,TV,295000,12,1,6
TRX-2023-00125,Lia Saputra,TV LG 50 inch,2024-10-23,2024-10-29,6,2670318,B007,TV,463000,10,1,9
TRX-2023-00126,Maya Hidayat,TV LG 75 inch,2024-08-03,2024-08-10,7,8232158,B013,TV,1195000,4,1,1
TRX-2023-00127,Lia Pratama,TV Panasonic 43 inch,2024-06-12,2024-06-14,2,561414,B004,TV,297000,12,1,0
TRX-2023-00128,Eka Lestari,TV Panasonic 50 inch,2024-09-10,2024-09-14,4,1763824,B006,TV,452000,10,1,9
TRX-2023-00129,Yanto Pratama,TV Panasonic 43 inch,2023-04-04,2023-04-05,1,284671,B004,TV,307000,12,1,5
TRX-2023-00130,Rian Putri,Screen 2x3,2025-01-25,2025-01-30,5,1423431,B002,Screen,294000,10,1,6
TRX-2023-00131,Hadi Wijaya,TV LG 50 inch,2023-01-05,2023-01-08,3,1325636,B007,TV,456000,10,1,6
TRX-2023-00132,Joko Pratama,TV Panasonic 43 inch,2025-01-01,2025-01-07,6,1666054,B004,TV,287000,12,1,9
TRX-2023-00133,Dewi Saputra,TV Panasonic 50 inch,2025-11-18,2025-11-24,6,2715466,B006,TV,454000,10,1,2
TRX-2023-00134,Eka Sari,Screen 2x3,2023-05-16,2023-05-17,1,273264,B002,Screen,289000,10,1,4
TRX-2023-00135,Maya Kusuma,TV Panasonic 65 inch,2023-04-22,2023-04-26,4,2694743,B010,TV,715000,6,1,0
TRX-2023-00136,Maya Ramadhan,TV Panasonic 55 inch,2025-03-25,2025-03-27,2,1019211,B008,TV,553000,8,1,7
TRX-2023-00137,Maya Santoso,Screen 2x3,2024-01-06,2024-01-09,3,826461,B002,Screen,296000,10,1,5
TRX-2023-00138,Yanto Hidayat,TV LG 55 inch,2025-10-11,2025-10-13,2,1074344,B009,TV,566000,8,1,7
TRX-2023-00139,Siska Hidayat,TV LG 43 inch,2023-05-08,2023-05-15,7,1935009,B005,TV,303000,12,1,0
TRX-2023-00140,Maya Lestari,TV LG 55 inch,2025-11-05,2025-11-10,5,2531307,B009,TV,562000,8,1,4
TRX-2023-00141,Dewi Lestari,TV LG 43 inch,2024-05-02,2024-05-09,7,1918438,B005,TV,303000,12,1,12
TRX-2023-00142,Joko Hidayat,TV Panasonic 50 inch,2025-02-08,2025-02-14,6,2678685,B006,TV,459000,10,1,0
TRX-2023-00143,Budi Ramadhan,TV LG 43 inch,2024-05-21,2024-05-27,6,1716454,B005,TV,312000,12,1,12
TRX-2023-00144,Budi Sari,Proyektor Epson 6000 Lumens,2023-03-11,2023-03-12,1,979823,B001,Proyektor,1007000,15,1,11
TRX-2023-00145,Doni Hidayat,Screen 3x4,2025-07-08,2025-07-14,6,2347376,B003,Screen,395000,8,1,7
TRX-2023-00146,Eka Putri,TV Panasonic 75 inch,2025-11-07,2025-11-11,4,4823743,B012,TV,1258000,4,1,3
TRX-2023-00147,Rian Kusuma,TV Panasonic 43 inch,2023-05-14,2023-05-20,6,1756266,B004,TV,301000,12,1,4
TRX-2023-00148,Eka Santoso,TV LG 43 inch,2023-03-13,2023-03-16,3,869132,B005,TV,308000,12,1,8
TRX-2023-00149,Siska Ramadhan,TV LG 43 inch,2024-06-06,2024-06-09,3,865716,B005,TV,313000,12,1,9
TRX-2023-00150,Siska Ramadhan,TV Panasonic 50 inch,2024-12-11,2024-12-18,7,2733749,B006,TV,431000,10,1,1
TRX-2023-00151,Agus Santoso,Screen 3x4,2025-01-15,2025-01-19,4,1393553,B003,Screen,387000,8,1,1
TRX-2023-00152,Rian Lestari,TV Panasonic 43 inch,2023-05-30,2023-06-01,2,582945,B004,TV,303000,12,1,3
TRX-2023-00153,Lia Santoso,Screen 2x3,2024-01-25,2024-02-01,7,2023573,B002,Screen,301000,10,1,1
TRX-2023-00154,Yanto Santoso,Screen 2x3,2023-08-10,2023-08-11,1,284239,B002,Screen,290000,10,1,4
TRX-2023-00155,Joko Ramadhan,TV LG 55 inch,2024-03-02,2024-03-04,2,1094962,B009,TV,549000,8,1,1
TRX-2023-00156,Eka Santoso,TV Panasonic 65 inch,2025-01-12,2025-01-15,3,2171877,B010,TV,729000,6,1,4
TRX-2023-00157,Eka Lestari,TV LG 43 inch,2025-03-28,2025-04-03,6,1678247,B005,TV,298000,12,1,7
TRX-2023-00158,Joko Lestari,TV Panasonic 43 inch,2023-08-13,2023-08-17,4,1146190,B004,TV,299000,12,1,8
TRX-2023-00159,Hadi Santoso,Proyektor Epson 6000 Lumens,2023-03-04,2023-03-07,3,2798835,B001,Proyektor,951000,15,1,4
TRX-2023-00160,Dewi Wijaya,TV LG 65 inch,2023-12-16,2023-12-23,7,4458460,B011,TV,701000,6,1,3
TRX-2023-00161,Joko Kusuma,TV LG 50 inch,2023-03-20,2023-03-21,1,435023,B007,TV,438000,10,1,2
TRX-2023-00162,Agus Ramadhan,Screen 3x4,2024-06-15,2024-06-18,3,1120769,B003,Screen,405000,8,1,4
TRX-2023-00163,Eka Ramadhan,Screen 2x3,2024-10-26,2024-10-27,1,295996,B002,Screen,307000,10,1,0
TRX-2023-00164,Dewi Sari,TV Panasonic 75 inch,2024-12-09,2024-12-12,3,3198973,B012,TV,1174000,4,1,0
TRX-2023-00165,Doni Ramadhan,TV LG 43 inch,2025-08-30,2025-09-03,4,1127799,B005,TV,293000,12,1,10
TRX-2023-00166,Siska Santoso,TV Panasonic 65 inch,2025-02-05,2025-02-10,5,3339650,B010,TV,692000,6,1,6
TRX-2023-00167,Lia Sari,TV Panasonic 55 inch,2025-10-23,2025-10-30,7,3516053,B008,TV,540000,8,1,5
TRX-2023-00168,Maya Ramadhan,TV LG 55 inch,2024-06-17,2024-06-18,1,527866,B009,TV,556000,8,1,0
TRX-2023-00169,Andi Lestari,TV LG 65 inch,2025-11-27,2025-12-01,4,2587176,B011,TV,688000,6,1,4
TRX-2023-00170,Lia Sari,TV LG 65 inch,2023-05-02,2023-05-09,7,4482878,B011,TV,676000,6,1,1
TRX-2023-00171,Eka Santoso,Screen 2x3,2024-07-18,2024-07-22,4,1199226,B002,Screen,303000,10,1,10
TRX-2023-00172,Rian Lestari,TV LG 65 inch,2024-09-08,2024-09-10,2,1291492,B011,TV,710000,6,1,6
TRX-2023-00173,Eka Putri,TV LG 65 inch,2025-02-15,2025-02-19,4,2534292,B011,TV,695000,6,1,5
TRX-2023-00174,Siska Santoso,Proyektor Epson 6000 Lumens,2023-11-30,2023-12-05,5,4934297,B001,Proyektor,989000,15,1,2
TRX-2023-00175,Doni Lestari,TV LG 43 inch,2024-05-31,2024-06-03,3,884107,B005,TV,299000,12,1,8
TRX-2023-00176,Eka Saputra,Proyektor Epson 6000 Lumens,2024-03-11,2024-03-12,1,973375,B001,Proyektor,1026000,15,1,0
TRX-2023-00177,Yanto Lestari,TV Panasonic 43 inch,2023-12-18,2023-12-23,5,1344273,B004,TV,289000,12,1,7
TRX-2023-00178,Dewi Sari,TV Panasonic 75 inch,2023-08-10,2023-08-11,1,1239373,B012,TV,1243000,4,1,2
TRX-2023-00179,Siska Saputra,TV Panasonic 65 inch,2025-04-25,2025-04-29,4,2812518,B010,TV,729000,6,1,5
TRX-2023-00180,Siti Lestari,TV LG 43 inch,2024-01-07,2024-01-09,2,582295,B005,TV,293000,12,1,0
TRX-2023-00181,Maya Lestari,Proyektor Epson 6000 Lumens,2023-08-05,2023-08-06,1,953516,B001,Proyektor,993000,15,1,11
TRX-2023-00182,Doni Saputra,TV LG 43 inch,2024-04-16,2024-04-21,5,1451478,B005,TV,301000,12,1,6
TRX-2023-00183,Lia Sari,TV LG 50 inch,2025-08-18,2025-08-24,6,2368733,B007,TV,428000,10,1,7
TRX-2023-00184,Siska Hidayat,TV LG 43 inch,2025-03-23,2025-03-25,2,583728,B005,TV,301000,12,1,12
TRX-2023-00185,Maya Lestari,TV Panasonic 55 inch,2023-04-11,2023-04-16,5,2534213,B008,TV,561000,8,1,0
TRX-2023-00186,Eka Lestari,TV Panasonic 55 inch,2024-03-02,2024-03-03,1,532642,B008,TV,568000,8,1,5
TRX-2023-00187,Andi Ramadhan,Proyektor Epson 6000 Lumens,2025-04-10,2025-04-17,7,6770959,B001,Proyektor,1032000,15,1,7
TRX-2023-00188,Siska Putri,Proyektor Epson 6000 Lumens,2025-03-06,2025-03-09,3,2812348,B001,Proyektor,959000,15,1,7
TRX-2023-00189,Dewi Putri,Proyektor Epson 6000 Lumens,2023-06-02,2023-06-09,7,6487254,B001,Proyektor,999000,15,1,12
TRX-2023-00190,Lia Sari,Screen 3x4,2023-01-28,2023-01-30,2,722124,B003,Screen,386000,8,1,7
TRX-2023-00191,Hadi Lestari,Proyektor Epson 6000 Lumens,2023-09-19,2023-09-22,3,2735865,B001,Proyektor,968000,15,1,0
TRX-2023-00192,Yanto Lestari,TV LG 65 inch,2024-12-27,2025-01-01,5,3297606,B011,TV,717000,6,1,4
TRX-2023-00193,Rina Pratama,TV Panasonic 75 inch,2024-02-22,2024-02-23,1,1230800,B012,TV,1249000,4,1,3
TRX-2023-00194,Dewi Kusuma,Screen 3x4,2025-02-05,2025-02-08,3,1093837,B003,Screen,398000,8,1,0
TRX-2023-00195,Siska Pratama,TV LG 43 inch,2024-06-19,2024-06-25,6,1633518,B005,TV,286000,12,1,0
TRX-2023-00196,Rina Putri,Proyektor Epson 6000 Lumens,2024-02-14,2024-02-17,3,2912573,B001,Proyektor,991000,15,1,1
TRX-2023-00197,Rian Putri,TV Panasonic 50 inch,2025-03-19,2025-03-26,7,3192320,B006,TV,459000,10,1,1
TRX-2023-00198,Yanto Lestari,TV LG 65 inch,2024-05-18,2024-05-23,5,3281703,B011,TV,715000,6,1,3
TRX-2023-00199,Maya Pratama,TV Panasonic 43 inch,2025-08-16,2025-08-17,1,274463,B004,TV,290000,12,1,2
TRX-2023-00200,Yanto Pratama,Proyektor Epson 6000 Lumens,2024-07-27,2024-07-31,4,3815799,B001,Proyektor,1034000,15,1,11
TRX-2023-00201,Agus Kusuma,Proyektor Epson 6000 Lumens,2025-01-31,2025-02-05,5,4682592,B001,Proyektor,1007000,15,1,14
TRX-2023-00202,Siti Hidayat,TV LG 43 inch,2024-06-07,2024-06-09,2,545875,B005,TV,303000,12,1,11
TRX-2023-00203,Eka Santoso,Proyektor Epson 6000 Lumens,2024-05-14,2024-05-18,4,3670544,B001,Proyektor,981000,15,1,11
TRX-2023-00204,Agus Kusuma,TV LG 50 inch,2023-10-22,2023-10-25,3,1353557,B007,TV,462000,10,1,8
TRX-2023-00205,Lia Santoso,Screen 2x3,2023-01-06,2023-01-13,7,1935299,B002,Screen,304000,10,1,4
TRX-2023-00206,Doni Sari,TV LG 50 inch,2024-08-31,2024-09-01,1,400473,B007,TV,435000,10,1,3
TRX-2023-00207,Hadi Kusuma,TV LG 43 inch,2024-01-25,2024-01-26,1,297581,B005,TV,299000,12,1,3
TRX-2023-00208,Siska Hidayat,TV Panasonic 50 inch,2024-12-13,2024-12-19,6,2627386,B006,TV,458000,10,1,8
TRX-2023-00209,Joko Ramadhan,TV LG 75 inch,2025-07-26,2025-08-02,7,7599086,B013,TV,1166000,4,1,3
TRX-2023-00210,Budi Sari,TV Panasonic 43 inch,2024-09-23,2024-09-30,7,2039036,B004,TV,303000,12,1,6
TRX-2023-00211,Agus Wijaya,TV LG 43 inch,2024-05-03,2024-05-10,7,2098369,B005,TV,312000,12,1,1
